path,max_daily_liquidations,max_daily_liq_volume,max_oas_bps,min_liquidity,max_drawdown,emergency_days,oracle_stale_gap
295,0.0,0.0,92.02495231037729,0.7949376192240567,-0.016276321456853315,0,0
296,0.0,0.0,108.77144045923352,0.7530713988519162,-0.036625991797291424,0,0
297,0.0,0.0,100.78949759807094,0.7730262560048227,-0.04869151889610479,0,0
298,0.0,0.0,92.42847254076099,0.7939288186480975,-0.027282649358349675,0,0
299,0.0,0.0,71.64629798100789,0.8458842550474802,-0.050058101938746824,0,0
300,0.0,0.0,105.27314484443879,0.761817137888903,-0.03489200295938577,0,0
301,250.0,2024344.2229786762,500.0,0.05,-0.03888242209257886,0,1
302,0.0,0.0,107.8319000732887,0.7554202498167782,-0.03794806264279571,0,0
303,0.0,0.0,87.99253613649982,0.8050186596587504,-0.07463117210334314,0,0
304,0.0,0.0,106.08902909363242,0.7597774272659189,-0.044308420593241804,0,0
305,0.0,0.0,88.25905624855429,0.8043523593786143,-0.03770374715141378,0,0
306,0.0,0.0,113.79260233030429,0.7405184941742392,-0.05056137706488084,0,0
307,0.0,0.0,107.78590981353281,0.7555352254661679,-0.06938356254439526,0,0
308,0.0,0.0,92.3042545290392,0.794239363677402,-0.037612840749550736,0,0
309,250.0,2024344.2229786762,500.0,0.05,-0.04139809149071616,0,1
310,0.0,0.0,85.1082494833538,0.8122293762916155,-0.03719579025591302,0,0
311,0.0,0.0,109.746294484358,0.750634263789105,-0.0653015541369335,0,0
312,0.0,0.0,92.25543504803508,0.7943614123799123,-0.06389277488756251,0,0
313,0.0,0.0,74.16654637809894,0.8395836340547527,-0.036375173914755976,0,0
314,0.0,0.0,89.96778326986194,0.8000805418253452,-0.03513059683758557,0,0
315,0.0,0.0,126.47600313004213,0.7088099921748947,-0.09307509886671916,0,0
316,0.0,0.0,97.1286483454589,0.7821783791363527,-0.05176931716936917,0,0
317,0.0,0.0,118.00856516358604,0.7299785870910349,-0.06387791532140419,0,0
318,0.0,0.0,106.5692061670686,0.7585769845823285,-0.057675564984296046,0,0
319,0.0,0.0,88.94106077220539,0.8026473480694865,-0.038597623922985935,0,0
